month,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#date+month,#event+id,,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
2019-04,5603334,356,IND51151,51151,2019-04-23,2019,1,Riots,Mob violence,Rioters (India),,5,Rioters (India),,5,55,Southern Asia,India,Assam,Kokrajhar,Kokrajhar,Kokrajhar,26.4016,90.2665,1,Assam Tribune,Subnational,"On April 23, three persons were injured in a group clash near Durgadas Sishu Niketan LP and ME School, in Patharghat area in Kokrajhar city (Kokrajhar, Assam), during the third phase of voting for the Parliamentary elections. Three vehicles were damaged. The police was sent to control the mob. [size=at least 3]",0,1563366777,IND
2019-04,5604577,356,IND52395,52395,2019-04-23,2019,1,Riots,Mob violence,Rioters (India),,5,Civilians (India),Students (India),7,57,Southern Asia,India,Assam,Biswanath,Behali,Behali,26.8477,93.3811,2,Sentinel (India),Subnational,"On April 23, unidentified people set ablaze office stationary in Pub Behali Higher Secondary School situated at Bedeti village under Behali area (Biswanath, Assam). [size=no report]",0,1563366778,IND
2019-04,6046153,760,SYR59353,59353,2019-04-23,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),Militia (Pro-Government),1,Civilians (Syria),,7,17,Middle East,Syria,Idleb,Al Ma'ra,Khan Shaykun,Khan Shaykun,35.4437,36.6504,1,Liveuamap; SNHR; SOHR,Local partner-Other,"On 23 April 2019, regime and loyalist militia forces intensely shelled the town of Khan Shaykun, killing 7 civilians - 3 children, 3 women, and a man - and wounding more than 10. The shelling also impacted a primary school, damaging its building, fence, and furniture.",7,1571164399,SYR
2019-04,6046171,760,SYR59371,59371,2019-04-23,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,1,Civilians (Syria),Syrian Civil Defense; Aid Workers (Syria); Refugees/IDPs (Syria),7,17,Middle East,Syria,Idleb,Jisr-Ash-Shugur,Badama,Al Hanboushiyeh,35.8361,36.1906,1,Liveuamap; SOHR; SNHR,Local partner-Other,"On 23 April 2019, regime forces fired rocket shells at the town of Al Hanboushiyeh which wounded three civilians, and damaging a school and a civil defense ambulance. The shelling also impacted Androun IDP camp in the village, destroying several tents. No fatalities were reported.",0,1571164399,SYR
2019-04,5146714,800,UGA5443,5443,2019-04-22,2019,1,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda),5,,,0,50,Eastern Africa,Uganda,Kitgum,Chua,Kitgum Matidi,Obyen,3.3281,33.0566,1,URN (Uganda),National,"On April 22nd, students at Obyen Community Polytechnic Institute (Kitgum district) rioted, accusing the school of failing to provide adequate teaching or access to food and clean water. The students damaged windows, doors, and furniture in the school. Six students have subsequently been arrested by police. [size=small]",0,1556572283,UGA
2019-04,5603223,356,IND51040,51040,2019-04-22,2019,1,Riots,Mob violence,Rioters (India),Vigilante Group (India),5,Civilians (India),Labour Group (India),7,57,Southern Asia,India,Karnataka,Bengaluru Rural,Devanhalli,Devanhalli,13.2422,77.7157,2,Times of India,National,"On 22 Apr, in Devanhalli taluk (Bengaluru Rural, Karnataka), a headmaster of a government higher primary school was assaulted by women and locked up in a school room by locals after he was accused of sexually harassing a student. He was later arrested by the police. [size=no report]",0,1563366777,IND
2019-04,5365319,275,PSE5378,5378,2019-04-21,2019,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),Students (Palestine); Teachers (Palestine),7,78,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,MENAFN,Regional,"On April 21 2019, Israeli forces attacked the Hebron Elementary School in Hebron city with tear gas canisters. Scores of Palestinian students and teachers on their way to school suffered from tear-gas inhalation and required treatment.",0,1561470071,PSE
2019-04,5151848,887,YEM30806,30806,2019-04-21,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,National Resistance Forces,,3,,,0,30,Middle East,Yemen,Al Hudaydah,Al Hali,,Al Hudaydah-Engineering College,14.8050,42.9960,1,Ansar Allah,National,"On April 21, anti-Houthi forces reportedly fired artillery shells toward the Engineering College in the north of Hodeidah Red Sea port city, western Yemen, with no report of fatalities nor injuries.",0,1556577819,YEM
2019-04,5935093,356,IND51014,51014,2019-04-21,2019,1,Riots,Violent demonstration,Rioters (India),Students (India),5,,,0,50,Southern Asia,India,Jammu and Kashmir,Srinagar,Srinagar North,Srinagar,34.0857,74.8056,1,Chandigarh Tribune,Subnational,"On 21 Apr, students and parents raised pro-separatist and anti-India slogans following alleged mismanagement during a State Sports Council (SSC) marathon event at Kashmir University in Srinagar city (J&K). Rioters damaged property on campus. [size=hundreds]",0,1567539379,IND
2019-04,5130812,854,BFO1649,1649,2019-04-20,2019,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,2,Civilians (Burkina Faso),,7,27,Western Africa,Burkina Faso,Est,Tapoa,Partiaga,Tatiangou,11.9423,1.3821,2,Infowakat,National,"On April 20, presumed JNIM and/or ISGS militants burned the primary school in Boulmontiaga, six kilometers from Tatiangou (coded as Tatiangou at geoprecision 2).",0,1555958739,BFA
2019-04,5146317,180,DRC14231,14231,2019-04-20,2019,1,Battles,Armed clash,Bosonalongo Communal Militia (Democratic Republic of Congo),,4,Bosozaya Communal Militia (Democratic Republic of Congo),,4,44,Middle Africa,Democratic Republic of Congo,Sud-Ubangi,Kungu,Kungu,Kungu,2.7829,19.2061,2,Radio Okapi,National,"20 April 2019. Following the ruling on a land dispute between the Bosonalongo and Bosozaya villages in the Kungu territory, a group of Bosonalongo residents armed with traditional weapons attacked Bosozaya, Kungu (no coordinates available) and clashed with local residents. Three Bosozaya were seriously injured and one Bosonalongo attacker was slightly injured. The attackers burned 43 homes, two schools, and destroyed agricultural fields.",0,1556572283,COD
2019-04,6027267,180,DRC14201,14201,2019-04-19,2019,1,Violence against civilians,Attack,Mayi Mayi Militia,,3,Civilians (Democratic Republic of Congo),Civilians (Cameroon); Health Workers (Democratic Republic of Congo); Health Workers (Cameroon); WHO: World Health Organization,7,37,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Butembo,Butembo,Butembo,0.1420,29.2910,1,Actualite; Twitter,New media-National,"19 April 2019. A suspected Mayi Mayi group attacked the Catholic University of Graben's Clinic in Butembo, which operates as part of the WHO's Ebola response. The assailants killed a Cameroonian doctor and burned a vehicle. According to a witness, the assailants claimed Ebola was not real and the doctors were killing people by claiming it was.",1,1571164374,COD
2019-04,5958128,360,IDN809,809,2019-04-19,2019,2,Violence against civilians,Attack,Police Forces of Indonesia (2014-) Prison Guards,Prisoners (Indonesia),1,Civilians (Indonesia),Prisoners (Indonesia); Students (Indonesia),7,17,South-Eastern Asia,Indonesia,Banten,South Tangerang,Serpong,Serpong,-6.3169,106.6641,1,Tribunnews,National,"Around April 19, 2019, an underage civilian was arrested by Indonesian police during interschool riot and put into an adult jail Serpong district, South Tangerang city, Banten province. He was attacked by fellow prisoners and police officers. The date of attack was unclear but it led to a demonstration on May 13.",0,1567540512,IDN
