month,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#date+month,#event+id,,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
2019-11,6329921,4,AFG27676,27676,2019-11-02,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,2,Civilians (Afghanistan),Students (Afghanistan),7,27,Southern Asia,Afghanistan,Takhar,Darqad,,Darqad,37.3841,69.4529,2,AFP; Khaama Press,National-International,"On 02 November 2019, 9 children were killed and 1 was wounded while they were walking to school as they stepped on a Taliban-planted landmine in the Tahiraha village of Darqad district, Takhar.",9,1572904622,AFG
2019-11,6331267,450,MAG1374,1374,2019-11-02,2019,2,Strategic developments,Looting/property destruction,Dahalo Militia,,3,Civilians (Madagascar),,7,37,Eastern Africa,Madagascar,Amoron I Mania,Ambatofinandrahana,,Ikatelo,-20.3417,46.9589,1,News Mada,National,"Around Nov 2nd 2019 (exact date not reported), in Ikatelo, a primary school was set on fire allegedly by Dahalo militias. Motives of the attack are unknown. No fatalities reported.",0,1572909431,MDG
2019-11,6331442,566,NIG15614,15614,2019-11-02,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),APC: All Progressives Congress,7,37,Western Africa,Nigeria,Edo,Etsako East,,Iyahmo,7.2203,6.3375,2,Vanguard (Nigeria),National,"02 November. Unidentified gunmen attacked a gathering of the Oba of Lagos, the chancellor of Edo University and the Edo State Governor at the premises of the former APC Edo State Chairman close to Edo State University (exact location not reported, coded as Iyahmo). Cars were damaged.",0,1572909431,NGA
2019-11,6329712,760,SYR69525,69525,2019-11-01,2019,1,Strategic developments,Arrests,Military Forces of Syria (2000-),,1,Civilians (Syria),Women (Syria),7,17,Middle East,Syria,Dar'a,Dar'a,Kherbet Ghazala,Kherbet Ghazala,32.7345,36.2033,1,SOHR,Other,"Arrests: On 1 November, 2019, regime forces manning a checkpoint in Kherbet Ghazala in Dar'a arrested a female university student.",0,1572903676,SYR
2019-11,6331365,748,SWA218,218,2019-11-01,2019,1,Riots,Violent demonstration,Rioters (eSwatini),Students (eSwatini),5,,,0,50,Southern Africa,eSwatini,Manzini,Manzini North,,Manzini,-26.4833,31.3667,1,Swazi Observer,National,"01 November 2019. Students demonstrated at the Southern African Nazarene University (SANU), Manzini, protested their allowances not being paid since August. School property has been damaged and forced non-demonstrating students out of classes. One demonstrator has been injured by a non-demonstrating student. [size=no report].",0,1572909431,SWZ
2019-11,6331775,356,IND64992,64992,2019-11-01,2019,1,Riots,Violent demonstration,Rioters (India),Labour Group (India),5,Police Forces of India (2014-),,1,15,Southern Asia,India,Assam,Nagaon,Nagaon,Nagaon,26.3469,92.6851,1,Assam Tribune,Subnational,"On 1 November, thousands of cooks and their helpers of various government schools of Nagoan district clashed with the police during a demonstration on the Nagaon-Laokhowa road on the outskirts of Nagoan city (Nagaon, Assam) against the Assam government's decision to handover the mid-day meal scheme to a private organisation. [size=thousands]",0,1572962844,IND
2019-11,6331948,356,IND64929,64929,2019-11-01,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),,3,Civilians (India),,7,37,Southern Asia,India,Jammu and Kashmir,Shopian,Shopian,Kumdalan,33.7200,74.8923,1,Early Times (India),Subnational,"On 1 Nov, suspected militants burnt down a school at Kumdalan village (Shopian, J&K), a day ahead of board examinations.",0,1572962844,IND
2019-11,6332013,524,NEP6982,6982,2019-11-01,2019,1,Riots,Mob violence,Rioters (Nepal),Teachers (Nepal),5,Civilians (Nepal),Students (Nepal),7,57,Southern Asia,Nepal,West,Lumbini,Rupandehi,Siddharthanagar,27.5000,83.4500,1,Naya Patrika,National,"On November 1, the college administration of Universal College of Medical Sciences locked students in a hostel in Bhairahawa city (Rupandehi district, Lumbini), to prevent them from voicing against the college administration for charging higher tuition fees than the government set amount. [size=no report]",0,1572962844,NPL
2019-10,6327650,887,YEM44227,44227,2019-10-31,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),,7,17,Middle East,Yemen,Taizz,Hayfan,,Wadi al Adhir,13.2198,44.3005,2,Aden al Ghad,National,"On Oct 31, pro-Houthi forces reportedly shelled Adhir area in Hayfan district, injuring 2 children on their way back from school.",0,1572887467,YEM
2019-10,6332490,300,GRC1102,1102,2019-10-31,2019,1,Riots,Violent demonstration,Rioters (Greece),Students (Greece); Student Struggle Front,5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Vima; AMNA,National,"On 31 October, members of the Student Struggle Front and 78 other student associations from all over Greece demonstrated in separate marches in central Athens over education reforms and the abolition of the university asylum law. There were clashes with police outside parliament. Police used tear gas and stun grenades. [size=no report]",0,1572984856,GRC
2019-10,6327780,887,YEM44189,44189,2019-10-30,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Yemen),,3,,,0,30,Middle East,Yemen,Dhamar,Dhamar City,,Dhamar University,14.5794,44.3789,1,Khabar News Agency (Yemen),National,"On October 30, a booby-trapped car of unknown origin reportedly exploded outside Dhamar University in Dhamar governorate as a graduation ceremony attended by a number of prominent pro-Houthi leaders was taking place, with no report of fatalities nor injuries.",0,1572887467,YEM
2019-10,6331010,434,LBY8816,8816,2019-10-30,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,11,Northern Africa,Libya,West,Misrata,,Misratah,32.3754,15.0925,1,Libya24; Al Wasat (Libya); Libya EN; Akhbar Libya,Other-National,"On October 30, LNA reportedly conducted multiple strikes against GNA military targets in Misratah including Misrata Air College, no casualties reported.",0,1572909430,LBY
2019-10,6332492,300,GRC1104,1104,2019-10-30,2019,1,Riots,Violent demonstration,Rioters (Greece),Female Anarchists-Male Anarchists,5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Vima; Ekathimerini; AMNA,National,"On 30 October, about 40 hooded rioters emerged from the university campus and created roadblocks on Patission street, set fire to garbage dumpsters outside the Athens University of Economics and Business, damaged storefronts and scattered fliers to express solidarity with the demonstrators in Chile. MAT riot police responded with tear gas. The group Female Anarchists-Male Anarchists claimed responsibility for the incident. [size=about 40]",0,1572984859,GRC
2019-10,6331023,466,MLI3266,3266,2019-10-29,2019,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),Teachers (Mali); Students (Mali),7,27,Western Africa,Mali,Gao,Bourem,Bamba,Garbame,17.0072,-1.2179,1,Reelle Afrique; Studio Tamani,New media-National,"On October 29, suspected JNIM militants aboard motorbikes attacked the market in the village of Garbame, looking for leaders of the village self-defense. The attackers gun shot wounded a man severely who attempted to alert security forces. A school in the locality was also set ablaze.",0,1572909430,MLI
2019-10,6331105,800,UGA5735,5735,2019-10-29,2019,1,Violence against civilians,Attack,Police Forces of Uganda (1986-),,1,Civilians (Uganda),Journalists (Uganda),7,17,Eastern Africa,Uganda,Kampala,Kampala Capital City,Kawempe,Makerere University,0.3333,32.5667,1,Daily Monitor (Uganda),National,"On October 29th, police fired tear gas against journalists covering protests at Markerere University (Kampala), and arrested three.",0,1572909431,UGA
2019-10,6331210,180,DRC15879,15879,2019-10-29,2019,1,Riots,Violent demonstration,Rioters (Democratic Republic of Congo),Taxi Drivers (Democratic Republic of Congo),5,,,0,50,Middle Africa,Democratic Republic of Congo,Kinshasa,Kinshasa,Ngaba,Ngaba,-4.3802,15.3225,1,Le Potentiel,National,"On 29 October 2019, following the death of a motorbike taxi driver by the bodyguard of an FARDC Colonel at the crossing of Kianza and University avenues of Kinshasa, commune of Ngaba, taxi drivers temporarily blocked traffic in the area by burning tyres.",0,1572909431,COD
2019-10,6331862,50,BGD16849,16849,2019-10-29,2019,1,Riots,Mob violence,Rioters (Bangladesh),Vigilante Group (Bangladesh),5,Civilians (Bangladesh),Students (Bangladesh),7,57,Southern Asia,Bangladesh,Khulna,Jessore,Abhaynagar,Sridharpur,23.0748,89.4177,2,Daily Star (Bangladesh),National,"On Oct 29, a school boy was beaten by rioting villagers on suspicion of theft at Maldhara village, Sridharpur union (Abhaynagar, Jessore). [size=no report]",0,1572962844,BGD
2019-10,6331975,356,IND64897,64897,2019-10-29,2019,1,Battles,Armed clash,Unidentified Armed Group (India),,3,Police Forces of India (2014-) Central Reserve Police Force,,1,13,Southern Asia,India,Jammu and Kashmir,Pulwama,Pulwama,Drabgam,33.8203,74.8149,1,Hindustan Times,National,"On 29 Oct, suspected militants opened fire on a CRPF mobile bunker stationed at a school examination centre in Drabgam (Pulwama, J&K).",0,1572962844,IND
2019-10,6330664,275,PSE6368,6368,2019-10-28,2019,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,West Bank,Jenin,,Jenin,32.4594,35.3009,2,Palestine News and Information Agency,National,"Property destruction: On October 28 2019, Israeli forces demolished a wall of a Palestinian school in the village of Thaher al Maleh west of Jenin and seized a container which was used as a school cafeteria. Israeli forces stormed the village and declared the school a closed military zone.",0,1572904623,PSE
2019-10,6331243,454,MAW517,517,2019-10-28,2019,1,Riots,Violent demonstration,Rioters (Malawi),Students (Malawi),5,,,0,50,Eastern Africa,Malawi,Southern,Blantyre City,Blantyre City,Blantyre,-15.7833,35.0000,1,Malawi24,National,"28 October 2019. Riots have been reported at the Lunzu Secondary School in Blantyre. Students have damaged various structures at the school, houses belonging to teachers, and one student has been injured. [size=no report].",0,1572909431,MWI
2019-10,6331864,50,BGD16845,16845,2019-10-28,2019,1,Riots,Mob violence,Rioters (Bangladesh),BCL: Bangladesh Chhatra League; Students (Bangladesh),5,Rioters (Bangladesh),BCL: Bangladesh Chhatra League; Students (Bangladesh),5,55,Southern Asia,Bangladesh,Rangpur,Dinajpur,Dinajpur,Dinajpur,25.6274,88.6377,1,Daily Star (Bangladesh),National,"On Oct 28, at least 10 people were injured in a clash between rioting factions of BCL at Hajee Mohammad Danesh Science and Technology University (Dinajpur) over establishing supremacy. [size=at least 10]",0,1572962844,BGD
2019-10,6332456,360,IDN1506,1506,2019-10-28,2019,1,Riots,Violent demonstration,Rioters (Indonesia),Students (Indonesia),5,Rioters (Indonesia),Students (Indonesia),5,55,South-Eastern Asia,Indonesia,South Sulawesi,Makassar,Makassar,Makassar,-5.1486,119.4320,1,Tribunnews,National,"On Oct 28, 2019, two groups of students, from art and language faculties, engaged in a riot in front of their university in Makassar city, South Sulawesi province, during a demonstration to commemorate Youth Pledge Day. They threw rocks at each other. A week earlier, a group of art students stabbed two language students, triggered by personal fights. The violence during the riot was allegedly an act of revenge. [size=no report]",0,1572963018,IDN
2019-10,6327830,887,YEM44119,44119,2019-10-27,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,,,0,80,Middle East,Yemen,Sadah,Razih,,An Nazir,16.9092,43.2623,2,Yemen Press,National,"On October 27, Saudi rocket and artillery shelling was reported on populated villages of Razih border district in northwestern Yemen, Sadah governorate, with no report of fatalities nor injuries but allegedly killing livestocks and damaging a school.",0,1572887467,YEM
2019-10,6329432,760,SYR69538,69538,2019-10-27,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,1,Civilians (Syria),Refugees/IDPs (Syria),7,17,Middle East,Syria,Idleb,Jisr-Ash-Shugur,Janudiyeh,Janudiyeh,35.8829,36.2914,1,SNHR; SOHR,Local partner-Other,"On 27 October 2019, regime forces shelled Janudiyeh and its vicinity in Idleb, killing a child. The child was displaced from Jabal al-Akrad. Several shells targeted the town's Girls High school, partially destroying the school's building and lightly damaging its furniture.",1,1572903676,SYR
2019-10,6215761,478,MAA611,611,2019-10-25,2019,1,Riots,Violent demonstration,Rioters (Mauritania),Students (Mauritania); Labour Group (Mauritania),5,Police Forces of Mauritania (2009-),,1,15,Western Africa,Mauritania,Nouakchott,Nouakchott,Nouakchott,Nouakchott,18.1194,-16.0406,1,Al Akhbar (Mauritania); RFI,National-International,"On 25 October, 2019, students engaged with police forces in Nouakchott during a demonstration against a new rule banning graduates over the age of 25 from attaining additional education or entering college. Some parliamentarians were also in attendance. [size=hundreds].",0,1572312903,MRT
2019-10,6216015,800,UGA5719,5719,2019-10-25,2019,1,Violence against civilians,Attack,Police Forces of Uganda (1986-),,1,Civilians (Uganda),Journalists (Uganda),7,17,Eastern Africa,Uganda,Kampala,Kampala Capital City,Kawempe,Makerere University,0.3333,32.5667,1,URN (Uganda); Daily Monitor (Uganda); Observer (Uganda); Chimp Reports,National,"On October 25th, 15 journalists covering a student press conference (which was addressing the unrest at Mekerere University over the previous three days) were beaten and had tear gas fired upon them by police forces at Makerere University (Kampala).",0,1572312942,UGA
2019-10,6215777,466,MLI3247,3247,2019-10-25,2019,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,Civilians (Mali),Teachers (Mali); Students (Mali),7,27,Western Africa,Mali,Mopti,Mopti,Korombana,Korientze,15.3943,-3.7818,1,Reelle Afrique; Bamada; Whatsapp; Essor; Twitter; AFP; RFI,New media-National,"On October 25, 2019, presumed Katiba Macina (JNIM) militants abducted at least five teachers, removed students from class, and set school material and documents ablaze on the street in the town of Korientze.",0,1572312903,MLI
2019-10,6331254,454,MAW520,520,2019-10-25,2019,1,Riots,Mob violence,Rioters (Malawi),,5,Civilians (Malawi),,7,57,Eastern Africa,Malawi,Central,Lilongwe City,Lilongwe City,Lilongwe,-13.9833,33.7833,1,Nation (Malawi),National,25 October 2019. MEC commissioners were blocked and stoned during a campaign. 13 houses have been set alight and people sustained injuries. The violence was sparked by the DPP allegedly buying votes through registering voters for loans Ndaula Primary School. A chairman was beaten up by bystanders. 16 people have been arrested. Parliamentary by-election campaign in Lilongwe South Constituency has been postponed due to violence and vote buying.,0,1572909431,MWI
2019-10,6217047,710,SAF11809,11809,2019-10-24,2019,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Northern Cape,Frances Baard,Sol Plaatjie,Kimberley,-28.7333,24.7667,1,Diamond Fields Advertiser,National,"24 October 2019. Students of Olympic Primary School in Gemdene, Kimberley, demonstrated at the school, demanding that the principal be removed after a teacher, who is vocal about school funds and abuses at the school, was assaulted by a colleague. Students threw stones at the school, police were called to the scene. [size=100].",0,1572313076,ZAF
2019-10,6222621,356,IND64542,64542,2019-10-24,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),,3,Civilians (India),,7,37,Southern Asia,India,Jammu and Kashmir,Kulgam,Kulgam,Chawalgam,33.6479,74.9934,1,Daily Excelsior,Subnational,"On 24 Oct, suspected militants set fire to a government high school at Sheikh Mohalla in Chawalgam village (Pulwama, J&K). Locals doused the flames, preventing the building from burning down.",0,1572355439,IND
2019-10,6223846,300,GRC1073,1073,2019-10-24,2019,1,Riots,Violent demonstration,Rioters (Greece),Students (Greece); ADEDY: Civil Servants Confederation; POE-OTA: Panhellenic Federation of Workers of the Organisation of Local Administration Authorities; PAME: All-Workers Militant Front; Labour Group (Greece),5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AP; To Vima; Ekathimerini; I Avgi,National-International,"On 24 October, about 5,000 members of labour groups, including ADEDY, POE-OTA and PAME, and students demonstrating separately in central Athens marched to parliament, where they briefly clashed with riot police. Police used tear gas and stun grenades. One student and one police officer were injured. No arrests were reported. Many university schools were also under occupation. This is part of the ongoing demonstrations against the proposed development bill that was being voted this day in parliament. [size=about 5,000]",0,1572374421,GRC
2019-10,6222955,356,IND64620,64620,2019-10-23,2019,1,Riots,Mob violence,Rioters (India),,5,Civilians (India),Students (India),7,57,Southern Asia,India,Assam,Morigaon,Mayong,Jagiroad,26.1309,92.2149,1,Siliguri Times,National,"On 23 October, following elections for the Jagiroad College Students' Union, the vice-president of Jagiroad AASU was beaten by an unidentified group of people in Jagiroad town of Mayong (Morigaon district, Assam) for an unreported reason. The victim of attack sustained a head injury. [size=no report]",0,1572355440,IND
2019-10,6223024,356,IND64530,64530,2019-10-23,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),,3,Civilians (India),,7,37,Southern Asia,India,Jammu and Kashmir,Pulwama,Pampore,Nehama,33.9734,74.8896,1,Times of India,National,"On 23 Oct, suspected militants set fire to the government high school at Nehama (Pulwama, J&K). The school had been selected as a polling station for BDC elections held on the following day.",0,1572355440,IND
2019-10,6223898,804,UKR27494,27494,2019-10-23,2019,1,Battles,Armed clash,Military Forces of Ukraine (2019-),,1,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,2,12,Europe,Ukraine,Luhansk,Popasniansky,,Zolote-5,48.6719,38.5600,2,OSCE SMM-Ukraine; LPR People's Militia Press Service,Other,"On 23 October, the Ukrainian Forces fired small arms at the position of the Luhansk People's Militia in the area of Zolote-5, Luhansk. A school building was damaged.",0,1572374421,UKR
2019-10,6211980,887,YEM43961,43961,2019-10-22,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2012-),Southern Resistance,1,Military Forces of Yemen (2016-) Supreme Political Council,,1,11,Middle East,Yemen,Ad Dali,Qaatabah,,Al Fajir,13.8667,44.6000,2,Al Mashhad Al Araby,National,"On October 22, pro-Hadi forces and southern affiliates reportedly shelled pro-Houthi forces in Al-Fajir front of Al-Qa'atabah district in Al-Dali governorate, southern Yemen, including in Markhazah school which has been transformed into a military barrack, destroying military equipment and killing and injuring ""dozens"" of fighters. Unclear reported fatalities coded as half (6).",6,1572286116,YEM
2019-10,6222516,524,NEP6975,6975,2019-10-22,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Nepal),,3,Civilians (Nepal),,7,37,Southern Asia,Nepal,West,Gandaki,Tanahun,Byas,27.9713,84.2688,1,Annapurna Post,National,"On October 22, an armed group of men attacked another group over an issue related to eve teasing in the Highschooltar locality of Byas Municipality (Tanahun district, Gandaki). At least 10 suspects were arrested following the incident.",0,1572355439,NPL
2019-10,6222539,356,IND64519,64519,2019-10-22,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),,3,Civilians (India),,7,37,Southern Asia,India,Jammu and Kashmir,Kulgam,Kulgam,Watoo,33.6409,74.8304,1,Asian News International,National,"On 22 Oct, suspected militants set fire to the government high school at Watoo (Kulgam, J&K).",0,1572355439,IND
2019-10,6222825,586,PAK54061,54061,2019-10-22,2019,1,Riots,Violent demonstration,Rioters (Pakistan),JKPNA: Jammu and Kashmir People's National Alliance; JKLF: Jammu and Kashmir Liberation Front,5,Police Forces of Pakistan (2018-),,1,15,Southern Asia,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,34.3700,73.4708,1,Nation (Pakistan),National,"On October 22, riot police baton charged and used tear gas to disperse demonstrators participating in a rally organized by Jammu and Kashmir People's National Alliance (an alliance of over 27 Kashmiri nationalist political groups and organisations including JKLF) when they attempted to move towards Azad Jammu and Kashmir Legislative Assembly Hall and pelted stones at the police in front of the University of Azad Jammu and Kashmir at CMH Road in Muzaffarabad city (Muzaffarabad, Azad Jammu and Kashmir). The rally was held to demand establishment of an independent and powerful joint government comprising Azad Jammu and Kashmir and Gilgit-Baltistan. Later the police stormed the Central Press Club Muzaffarabad using tear gas where the alliance leaders were holding a press conference. One person was killed and scores others including police personnel and journalists were injured in the clash and storming of the press club. At least two dozens of the demonstrators were arrested. [size=at least two dozen]",1,1572355440,PAK
2019-10,6223018,356,IND64558,64558,2019-10-22,2019,1,Violence against civilians,Attack,TMC: Trinamool Congress Party,,3,Civilians (India),BJP: Bharatiya Janata Party,7,37,Southern Asia,India,West Bengal,Kalimpong,Kalimpong,Kalimpong,27.0705,88.4752,1,Times of India,National,"On 22 October, a group of TMC supporters attacked and injured a BJP MP Raju Bista using khukuri, knives and stones in Kalimpong city (West Bengal). At the time of attack, the BJP leader was on his way to inaugurate a new school building and the attackers tried to prevent him from reaching the venue.",0,1572355440,IND
2019-10,6223164,104,MMR8959,8959,2019-10-22,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2016-),,1,Civilians (Myanmar),,7,17,South-Eastern Asia,Myanmar,Rakhine,Sittwe,Rathedaung,Sin Khone Taing,20.7253,92.6479,1,Development Media Group,Subnational,"On 22 October 2019, in Sin Khone Taing Village, in Rathedaung Township, in Rakhine State, an artillery shell exploded near a primary school in Sin Khone Taing village. The village administrator claimed that the artillery shell was launched by the Myanmar military from its outpost at the Thonesal Ta Bon pagoda.",0,1572356105,MMR
2019-10,6216809,710,SAF11812,11812,2019-10-21,2019,1,Riots,Violent demonstration,Rioters (South Africa),,5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,Cape Times,Subnational,"21 October 2019. Residents of Silversands (Cape Town) demonstrated over service delivery issues. Streets were barricaded with burning tyres and cement blocks. Demonstrators are demanding healthcare facilities, schools, libraries, and a community centre. Police were monitoring the demonstration. [size=30].",0,1572313065,ZAF
2019-10,6218107,180,DRC15830,15830,2019-10-21,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Democratic Republic of Congo),,3,Civilians (Democratic Republic of Congo),Teachers (Democratic Republic of Congo); Students (Democratic Republic of Congo),7,37,Middle Africa,Democratic Republic of Congo,Lualaba,Kolwezi,Kolwezi,Kolwezi,-10.7167,25.4725,1,Radio Okapi,National,"On 21 October 2019, in Kolwezi, unidentifed armed group vandalized and destroyed several property items of Kolwezi University.",0,1572313155,COD
2019-10,6213301,760,SYR69158,69158,2019-10-21,2019,1,Strategic developments,Arrests,Military Forces of Syria (2000-) Military Intelligence,,1,QDW: National Defense Forces,,3,13,Middle East,Syria,Rural Damascus,Az-Zabdani,Az-Zabdani,Az-Zabdani,33.7252,36.1024,1,SOHR,Other,"As reported on 21 October, 2019, regime's military intelligence arrested about 10 members of the QDW in Az-Zabdani in Rural Damascus following anti-regime graffiti in city schools back in September.",0,1572295438,SYR
2019-10,6217837,120,CAO2590,2590,2019-10-21,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Cameroon),Students (Cameroon),3,Civilians (Cameroon),,7,37,Middle Africa,Cameroon,Littoral,Moungo,Nkongsamba 1,Nkongsamba,4.9547,9.9404,1,Mimi Mefo,New media,"On October 21, 2019, former students of Government High School Ebone attacked the school principal and his daughter in Nkongsamba. The principal was reportedly wounded with a machete.",0,1572313134,CMR
2019-10,6222481,586,PAK54036,54036,2019-10-21,2019,1,Riots,Violent demonstration,Rioters (Pakistan),NP: National Party; PKMAP: Pashtunkhwa Milli Awami Party; Former Government of Pakistan (2018-); Students (Pakistan),5,,,0,50,Southern Asia,Pakistan,Balochistan,Quetta,Quetta City,Quetta,30.1999,67.0097,1,Dawn (Pakistan); Balochistan Express,Subnational-National,"On October 21, large number of students from various students' organizations supported by a former minister and leader of PKMAP and a leader of NP demonstrated and blocked Sariab and Sabzal roads by putting barricades and hurdles in front of the Balochistan University's main gate in Quetta city (Quetta, Balochistan) against alleged harassment and blackmailing of students using videos recorded with hidden cameras inside Balochistan University. [size=large]",0,1572355439,PAK
2019-10,6222935,356,IND64591,64591,2019-10-21,2019,1,Riots,Mob violence,Rioters (India),Students (India),5,Rioters (India),Students (India),5,55,Southern Asia,India,Meghalaya,Ri Bhoi,Umling,Baridua,26.1026,91.8359,1,Shillong Times,Subnational,"On 21 October, a clash broke out between students from Meghalaya and Arunachal Pradesh at the University of Science and Technology, Meghalaya campus (USTM) in Baridua town of Umsning (Ri Bhoi district, Meghalaya) over a football game. Two students were injured and a vehicle damaged during the clash. [size=no report]",0,1572355440,IND
2019-10,6222996,356,IND64694,64694,2019-10-21,2019,1,Riots,Violent demonstration,Rioters (India),Students (India); Labour Group (India),5,Police Forces of India (2014-),,1,15,Southern Asia,India,Kerala,Kottayam,Kottayam,Kottayam,9.5869,76.5213,1,Times of India,National,"On October 21, several KSU activists holding a demonstration to MG University were stopped by police at the entrance of Varsity with barricades; the demonstrators pelted them with stones due to which police resorted to lathicharge that injured several leaders of KSU in Kottayam city (Kottayam, Kerala). They were demanding a judicial inquiry into donation row in the varsity and also demanded the ouster of varsity vice-chancellor and syndicate member in charge of examination. [size=several]",0,1572355440,IND
2019-10,6331667,566,NIG15568,15568,2019-10-20,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Kaduna,Igabi,,Dallatu,10.8503,7.4667,1,Sun (Nigeria),National,"20 October 2019. The attempt of local militias to engage with unidentified gunmen resulted in an invasion of those in the surrounding villages. About 2,000 residents of Tura, Unguwan Gebi, Unguwan Dangauta, Unguwan Nayawu, Sabon Gida, Unguwan Alhaji Ahmadu, Kusau, Unguwan Pati, Unguwan Tofa and Sauran Giwa were forced take refuge at LEA Birnin Yero Primary School (locations unknown, coded as Birnin Yero). Other known villages under attack were Unguwan Makeri, Gigane, Dallatu, Sabon Gari, Gidan Sarkin Noma. Five civilians were killed in the attacks.",0,1572909565,NGA
2019-10,6215849,566,NIG15596,15596,2019-10-20,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Kaduna,Igabi,,Birnin Yero,10.7859,7.5479,2,Daily Post (Nigeria); Sun (Nigeria),National,"20 October 2019. The attempt of local militias to engage with unidentified gunmen resulted in an invasion of those in the surrounding villages. About 2,000 residents of Tura, Unguwan Gebi, Unguwan Dangauta, Unguwan Nayawu, Sabon Gida, Unguwan Alhaji Ahmadu, Kusau, Unguwan Pati, Unguwan Tofa and Sauran Giwa were forced take refuge at LEA Birnin Yero Primary School (locations unknown, coded as Birnin Yero). Other known villages under attack were Unguwan Makeri, Gigane, Dallatu, Sabon Gari, Gidan Sarkin Noma. Five civilians were killed in the attacks.",5,1572312919,NGA
2019-10,6331665,566,NIG15569,15569,2019-10-20,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Kaduna,Igabi,,Sabon Gari,10.6000,7.3000,1,Sun (Nigeria),National,"20 October 2019. The attempt of local militias to engage with unidentified gunmen resulted in an invasion of those in the surrounding villages. About 2,000 residents of Tura, Unguwan Gebi, Unguwan Dangauta, Unguwan Nayawu, Sabon Gida, Unguwan Alhaji Ahmadu, Kusau, Unguwan Pati, Unguwan Tofa and Sauran Giwa were forced take refuge at LEA Birnin Yero Primary School (locations unknown, coded as Birnin Yero). Other known villages under attack were Unguwan Makeri, Gigane, Dallatu, Sabon Gari, Gidan Sarkin Noma. Five civilians were killed in the attacks.",0,1572909565,NGA
