data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#event+id,#country+code,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
5930665,356,IND60797,60797,2019-08-23,2019,1,Protests,Peaceful protest,Protesters (India),Teachers (India); Labour Group (India),6,,,0,60,Southern Asia,India,Maharashtra,Aurangabad,Aurangabad,Aurangabad,19.8775,75.3422,1,Times of India,National,"On 23 August, teachers affiliated with Maharashtra Unaided Teaching and Non-Teaching Staff held a protest in Aurangabad (Aurangabad, Maharashtra) over unpaid salaries and demanded the government to release a pending grant for their school. [size=no report]",0,1567533973,IND
5930683,356,IND60816,60816,2019-08-23,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Himachal Pradesh,Kangra,Kangra,Kangra,32.0913,76.2626,1,Chandigarh Tribune,Subnational,"On 23 August, students of the Central University Himachal Pradesh boycotted classes and demonstrated on campus in Kangra city (Himachal Pradesh) to oppose the inadequate facilities on campus among other demands. [size=no report]",0,1567533973,IND
5931984,586,PAK52454,52454,2019-08-23,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Government of Pakistan (2018-); Students (Pakistan),6,,,0,60,Southern Asia,Pakistan,Khyber Pakhtunkhwa,Kohat,Kohat,Kohat,33.4491,71.5439,1,Dawn (Pakistan),National,"On August 23, led by District Nazim, hundreds of students of government and private schools held a rally culminating at Shah Faisal Gate in Kohat city (Kohat, KP) to condemn Indian government's aggression in Indian Administered Kashmir and to express solidarity with Kashmiris of Indian Administered J&K. [size=hundreds]",0,1567533974,PAK
5932093,356,IND61038,61038,2019-08-23,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,1,Hindustan Times,National,"On 23 August, members of as many as 14 student parties demonstrated outside the Panjab University's VC office in Chandigarh city (Chandigarh) to demand the reinstatement of the former DSW. [size=no report]",0,1567533974,IND
5932426,586,PAK52490,52490,2019-08-23,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Labour Group (Pakistan),6,,,0,60,Southern Asia,Pakistan,Sindh,Khairpur,Khairpur,Khairpur,27.5271,68.7452,1,News International (Pakistan),National,"On August 23, employees' action committee of Shah Abdul Latif University locked down the administration block of the university and held a protest rally in Khairpur city (Khairpur, Sindh) against the vice-chancellor, registrar and director finance, demanding their removal over unpaid salaries and other allowances. [size=no report]",0,1567533975,PAK
5932428,586,PAK52492,52492,2019-08-23,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Students (Pakistan),6,,,0,60,Southern Asia,Pakistan,Punjab,Multan,Multan City,Multan,30.1978,71.4697,1,Nation (Pakistan),National,"On August 23, students of Government Pilot School held a rally culminating at Nawan Shehr Chowk in Multan city (Multan, Punjab) to express solidarity with Kashmiris of Indian Administered J&K. [size=no report]",0,1567533975,PAK
5932433,586,PAK52497,52497,2019-08-23,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Teachers (Pakistan),6,,,0,60,Southern Asia,Pakistan,Punjab,Toba Tek Singh,Toba Tek Singh,Toba Tek Singh,30.9686,72.4659,1,News International (Pakistan),National,"On August 23, local chapters of the Punjab Teachers Union, Punjab Educators Association, English Teachers Association and SES Teachers Union held a rally culminating at a press club on Jhang Road in Toba Tek Singh city (Toba Tek Singh, Punjab) against the government over their decision to hand over government schools to municipal authorities. [size=no report]",0,1567533975,PAK
5726477,566,NIG15223,15223,2019-08-22,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),Teachers (Nigeria),7,37,Western Africa,Nigeria,Rivers,Khana,,Bori,4.6737,7.3620,2,Nigeria Punch,National,"On August 22nd, unknown gunmen (accused of being cultists) attacked two locations in the area of Khana (Rivers state, coordinates for Bori used at prec2), killing six (one of whom died of their injuries after the attack), and injuring an unspecified number. A school and the house of a professor were also torched.",6,1567450155,NGA
5726800,710,SAF11516,11516,2019-08-22,2019,2,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Tshepisong,-26.1898,27.8014,1,Times (South Africa),National,"22 August. Students of the Onkgopotse Tiro Combined School, near Mafikeng staged a demonstration at the school, since Monday, over the poor condition of school busses and demanded the eviction of teachers from the teacher houses so that students can live in the houses. The demonstrators burnt tyres at the school and disrupted classes. [size=no report].",0,1567450155,ZAF
6011221,275,PSE6029,6029,2019-08-22,2019,1,Protests,Protest with intervention,Protesters (Palestine),Students (Palestine); Health Workers (Palestine); Journalists (Palestine),6,Military Forces of Israel (2009-),,8,68,Middle East,Palestine,West Bank,Ramallah,,Ofer Prison,31.8721,35.1763,1,Palestine News and Information Agency; MENAFN,National-Regional,"On August 22 2019, hundreds of Bir Zeit University students held a solidarity stand for Palestinian prisoners on hunger strike outside the Ofer prison in Ramallah. Israeli soldiers assaulted a Palestinian youth, and attacked medical workers who approached to help the Palestinian, as well as journalists. The assaulted Palestinian was detained and protesters were dispersed with tear-gas canisters. [size=no report]",0,1569870307,PSE
5923988,608,PHL9026,9026,2019-08-22,2019,1,Protests,Peaceful protest,Protesters (Philippines),Students (Philippines),6,,,0,60,South-Eastern Asia,Philippines,Calabarzon,Laguna,Los Banos,Los Banos,14.1702,121.2418,1,Philippine Daily Inquirer; Rappler,National,"On 22 Aug 2019, in Los Banos, Laguna, students, alumni, and affiliates of University of the Philippines-Los Banos staged a protest condemning the impending release of a former Mayor and rapist-murderer under the Good Conduct Time Allowance (GCTA) law. [size=hundreds]",0,1567515037,PHL
